Fecha,Cierre,Apertura,Máximo,Mínimo,Vol,% var
2010-01-04,1118.3,"1,099.00","1,124.60","1,093.80",155.48K,2.02%
2010-01-05,1118.7,"1,122.00","1,129.60","1,115.50",156.41K,0.04%
2010-01-06,1136.5,"1,118.50","1,141.00","1,116.80",176.90K,1.59%
2010-01-07,1133.7,"1,139.00","1,139.50","1,128.70",121.15K,-0.25%
2010-01-08,1138.9,"1,131.50","1,140.00","1,119.50",212.62K,0.46%
2010-01-11,1151.4,"1,139.00","1,163.00","1,139.00",173.77K,1.10%
2010-01-12,1129.4,"1,152.00","1,158.30","1,124.30",233.12K,-1.91%
2010-01-13,1136.8,"1,129.00","1,138.90","1,118.50",217.63K,0.66%
2010-01-14,1143.0,"1,137.90","1,146.70","1,130.70",165.71K,0.55%
2010-01-15,1130.5,"1,142.00","1,146.00","1,126.50",144.70K,-1.09%
2010-01-18,1140.0,"1,130.70","1,140.70","1,127.50",188.03K,0.84%
2010-01-20,1112.6,"1,138.50","1,141.70","1,106.80",232.58K,-2.40%
2010-01-21,1103.2,"1,112.40","1,117.40","1,088.00",271.81K,-0.84%
2010-01-22,1089.7,"1,095.40","1,098.90","1,081.90",214.20K,-1.22%
2010-01-25,1095.7,"1,093.50","1,104.00","1,092.20",155.36K,0.55%
2010-01-26,1098.3,"1,097.90","1,103.20","1,085.20",230.15K,0.24%
2010-01-27,1084.5,"1,097.40","1,102.10","1,083.00",206.69K,-1.26%
2010-01-28,1084.8,"1,087.00","1,096.90","1,074.40",211.38K,0.03%
2010-01-29,1083.8,"1,087.00","1,091.40","1,075.00",182.59K,-0.09%
2010-02-01,1105.0,"1,081.90","1,108.80","1,077.20",162.34K,1.96%
2010-02-02,1118.0,"1,107.30","1,119.90","1,099.50",154.49K,1.18%
2010-02-03,1112.0,"1,115.80","1,126.40","1,107.50",158.61K,-0.54%
2010-02-04,1063.0,"1,110.10","1,112.00","1,059.00",280.75K,-4.41%
2010-02-05,1052.8,"1,065.70","1,069.40","1,044.50",253.58K,-0.96%
2010-02-08,1066.2,"1,068.30","1,074.30","1,061.80",142.16K,1.27%
2010-02-09,1077.2,"1,062.40","1,083.80","1,062.10",184.39K,1.03%
2010-02-10,1076.3,"1,078.60","1,083.00","1,063.10",163.92K,-0.08%
2010-02-11,1094.7,"1,073.80","1,098.40","1,072.90",188.05K,1.71%
2010-02-12,1090.0,"1,094.60","1,097.70","1,078.10",153.31K,-0.43%
2010-02-15,1119.8,"1,093.70","1,121.90","1,092.00",179.06K,2.73%
2010-02-17,1120.1,"1,119.80","1,128.70","1,105.50",172.89K,0.03%
2010-02-18,1118.7,"1,108.30","1,124.80","1,098.10",188.71K,-0.12%
2010-02-19,1122.1,"1,108.40","1,127.40","1,099.30",170.95K,0.30%
2010-02-22,1113.1,"1,122.10","1,131.50","1,110.00",137.55K,-0.80%
2010-02-23,1103.2,"1,114.10","1,121.70","1,099.60",161.29K,-0.89%
2010-02-24,1097.2,"1,103.50","1,108.80","1,090.20",176.13K,-0.54%
2010-02-25,1108.5,"1,096.20","1,110.00","1,088.50",206.76K,1.03%
2010-02-26,1118.9,"1,108.00","1,119.50","1,104.60",129.61K,0.94%
2010-03-01,1118.3,"1,119.00","1,123.90","1,112.10",124.68K,-0.05%
2010-03-02,1137.4,"1,118.00","1,138.30","1,115.00",193.28K,1.71%
2010-03-03,1143.3,"1,134.50","1,145.80","1,132.80",159.13K,0.52%
2010-03-04,1133.1,"1,139.80","1,142.30","1,125.90",154.14K,-0.89%
2010-03-05,1135.2,"1,132.90","1,141.20","1,127.50",150.03K,0.19%
2010-03-08,1124.0,"1,136.00","1,138.00","1,118.50",140.54K,-0.99%
2010-03-09,1122.3,"1,123.80","1,125.10","1,108.20",153.99K,-0.15%
2010-03-10,1108.1,"1,121.50","1,128.30","1,103.10",201.37K,-1.27%
2010-03-11,1108.2,"1,108.90","1,111.70","1,100.50",136.65K,0.01%
2010-03-12,1101.7,"1,110.00","1,119.50","1,097.30",159.86K,-0.59%
2010-03-15,1105.4,"1,101.70","1,110.50","1,101.00",130.83K,0.34%
2010-03-16,1122.5,"1,108.30","1,129.30","1,108.10",141.80K,1.55%
2010-03-17,1124.2,"1,126.30","1,133.90","1,118.20",130.32K,0.15%
2010-03-18,1127.5,"1,124.50","1,129.50","1,118.20",123.99K,0.29%
2010-03-19,1107.6,"1,125.80","1,127.50","1,101.00",176.49K,-1.76%
2010-03-22,1099.5,"1,108.00","1,108.60","1,092.10",159.06K,-0.73%
2010-03-23,1103.7,"1,102.50","1,108.00","1,094.00",146.15K,0.38%
2010-03-24,1088.8,"1,102.20","1,106.00","1,084.80",178.06K,-1.35%
2010-03-25,1092.9,"1,087.40","1,095.60","1,085.50",159.34K,0.38%
2010-03-26,1104.3,"1,091.60","1,109.80","1,088.50",177.74K,1.04%
2010-03-29,1110.3,"1,110.40","1,114.70","1,103.10",158.73K,0.54%
2010-03-30,1105.7,"1,110.60","1,114.20","1,102.40",109.92K,-0.41%
2010-03-31,1114.5,"1,105.10","1,119.90","1,103.10",108.48K,0.80%
2010-04-01,1126.1,"1,114.60","1,129.10","1,112.30",118.74K,1.04%
2010-04-05,1133.8,"1,122.00","1,134.30","1,120.80",75.64K,0.68%
2010-04-06,1136.0,"1,131.90","1,139.60","1,123.50",126.66K,0.19%
2010-04-07,1153.0,"1,135.20","1,154.20","1,133.30",163.44K,1.50%
2010-04-08,1152.9,"1,150.20","1,154.70","1,144.40",119.68K,-0.01%
2010-04-09,1161.9,"1,151.80","1,165.80","1,150.40",134.64K,0.78%
2010-04-12,1162.2,"1,166.30","1,170.70","1,154.80",122.40K,0.03%
2010-04-13,1153.4,"1,156.20","1,158.10","1,145.40",133.64K,-0.76%
2010-04-14,1159.6,"1,152.00","1,162.80","1,151.00",123.13K,0.54%
2010-04-15,1160.3,"1,155.80","1,162.30","1,150.70",99.31K,0.06%
2010-04-16,1136.9,"1,159.40","1,161.20","1,130.00",202.67K,-2.02%
2010-04-19,1135.8,"1,137.00","1,138.50","1,124.30",124.33K,-0.10%
2010-04-20,1139.2,"1,136.60","1,146.80","1,134.00",120.35K,0.30%
2010-04-21,1148.8,"1,140.10","1,151.20","1,138.10",112.32K,0.84%
2010-04-22,1142.9,"1,147.00","1,149.80","1,132.00",138.49K,-0.51%
2010-04-23,1153.7,"1,141.80","1,158.50","1,135.20",144.45K,0.94%
2010-04-26,1154.0,"1,158.50","1,160.70","1,151.10",88.29K,0.03%
2010-04-27,1162.2,"1,154.20","1,173.40","1,146.60",182.68K,0.71%
2010-04-28,1171.8,"1,168.70","1,175.30","1,161.00",167.71K,0.83%
2010-04-29,1168.8,"1,165.40","1,171.80","1,162.20",109.66K,-0.26%
2010-04-30,1180.7,"1,168.00","1,182.50","1,167.80",120.95K,1.02%
2010-05-03,1183.3,"1,181.00","1,188.40","1,177.10",87.37K,0.22%
2010-05-04,1169.2,"1,182.90","1,192.80","1,166.90",190.15K,-1.19%
2010-05-05,1175.0,"1,171.20","1,177.70","1,156.20",180.54K,0.50%
